NA,"922","610","297","749","842","980","1018","405","200","912","439","744","1229","276","866","355","406","1345","432"
"739",NA,"545","394","741","625","1040","230","163","662","828","469","641","1128","582","487","336","659","61","497"
"641","682",NA,"572","355","500","266","632","835","381","437","549","617","479","416","294","800","779","483","600"
"374","323","536",NA,"744","521","404","965","755","963","419","707","423","766","670","307","454","484","984","569"
"728","773","337","1056",NA,"996","516","797","695","529","469","421","957","703","392","677","400","495","513","933"
"999","573","564","690","899",NA,"618","884","914","233","749","572","976","721","521","566","696","525","827","1044"
"963","1052","578","556","613","660",NA,"848","2231","1213","1728","1460","704","471","1000","1192","2972","2188","858","1850"
"1063","232","630","1194","771","815","654",NA,"610","265","627","493","574","761","866","497","472","275","476","409"
"380","155","855","748","530","678","886","617",NA,"895","371","1189","511","963","500","589","54","435","833","1267"
"135","615","300","1021","389","209","774","317","970",NA,"397","539","237","283","320","144","260","420","825","685"
"791","1009","390","331","373","549","726","709","430","444",NA,"1815","521","253","311","785","258","533","307","518"
"723","777","612","793","554","674","1329","438","2703","623","4531",NA,"523","970","1253","1013","1130","3594","2171","2762"
"692","498","612","427","753","914","512","422","573","243","485","549",NA,"484","716","623","556","839","893","611"
"1152","1108","433","733","601","756","418","601","773","302","284","663","452",NA,"320","888","554","906","1427","863"
"206","662","286","825","435","470","730","561","662","276","309","691","774","311",NA,"565","310","481","1461","527"
"884","428","357","309","562","540","901","511","709","178","737","818","628","672","497",NA,"588","581","397","395"
"536","402","789","519","395","726","1543","388","34","259","258","631","630","619","323","552",NA,"604","771","754"
"313","705","788","452","469","669","933","361","428","390","566","1132","927","880","512","486","666",NA,"546","729"
"1234","66","356","925","389","752","638","476","871","749","296","661","989","1347","1640","423","624","504",NA,"426"
"391","744","620","638","778","979","858","296","1393","681","529","905","656","828","429","490","727","726","520",NA
