NA,"751","2612","2243","698","969","1446","948","1688","1706","914","2229","898","759","1659","1963","2296","1412","1615","1743"
"818",NA,"1631","1064","1675","671","835","3469","1574","1809","1693","3251","4137","1365","2234","3288","2764","3240","2427","2143"
"2476","1968",NA,"1653","3144","1098","1055","1619","1671","2533","1314","2117","1642","1628","1889","2945","6322","1034","1451","1530"
"2123","1099","1361",NA,"2466","1108","1032","1154","1847","2608","1953","2333","2039","2134","3453","3432","3660","5056","2084","3854"
"889","1525","2946","3034",NA,"896","736","2594","1974","2082","2238","3363","3419","1871","5830","1831","6015","5193","2316","2585"
"727","562","1281","754","954",NA,"815","645","686","1578","430","544","1206","1559","907","1145","522","400","1387","902"
"1381","747","1198","967","691","935",NA,"1710","1435","1696","1243","1231","1663","1443","1459","1345","1171","1837","1440","1883"
"1012","3409","1941","1421","2513","579","1672",NA,"2857","3314","1166","5718","1011","2645","3081","2469","2732","4055","1646","3259"
"1870","1775","1664","2191","2048","865","1052","2522",NA,"1815","2037","3647","2345","2034","2926","1578","2264","1073","2973","1834"
"1907","1674","2459","2384","1604","1600","1592","3111","1590",NA,"1029","3330","2036","1912","2479","3258","3430","3637","1489","2241"
"1020","2416","1384","2002","2635","609","1279","1114","2079","1089",NA,"2206","1571","1049","1839","1452","1917","1892","2279","1956"
"2289","2705","1982","2234","3144","536","1323","4841","3208","3130","1826",NA,"5053","2602","1024","4858","4572","4221","3666","2122"
"911","3822","1778","2456","2986","1636","1994","908","2491","1966","1481","5167",NA,"1376","1634","4043","1174","1554","3343","2084"
"722","1389","1728","2549","1874","1372","1215","2525","2184","2098","957","2465","1380",NA,"2651","1533","2768","1633","1908","1539"
"1429","2005","1866","3803","5428","924","1304","3109","2661","2665","1546","847","1593","2985",NA,"2317","5235","5116","2578","3694"
"1963","3516","2726","3462","1968","1381","1228","2774","1489","3672","1254","4728","4032","1520","2736",NA,"4896","3341","1591","2188"
"2048","2900","5547","3402","5664","443","1149","2746","1610","3478","1685","4514","1117","2613","5134","4836",NA,"5960","2493","3498"
"1489","3079","1011","4723","4851","371","1929","3923","938","3847","2055","4114","1748","1571","5011","3157","5765",NA,"770","3961"
"1094","2595","1183","2057","2443","1637","1127","1648","2779","1715","2286","3623","3380","2541","2536","1864","2466","824",NA,"2319"
"1839","1955","1683","4015","2348","1219","1915","3097","1766","2184","1733","2249","2039","1706","3462","2068","3916","3801","2445",NA
