NA,"392","352","781","796","630","215","555","252","500","1195","360","259","1857","1223","1428","421","939","573","802"
"353",NA,"604","371","469","695","1171","657","225","535","637","721","223","832","856","485","912","681","560","531"
"292","551",NA,"1015","1206","722","1643","346","668","705","260","1953","412","0","303","227","0","507","1100","0"
"760","427","1054",NA,"363","701","812","741","126","968","837","529","468","1007","979","827","290","686","389","283"
"926","418","1414","488",NA,"419","243","217","549","546","1222","732","420","1440","785","877","49","1648","457","351"
"646","696","705","642","557",NA,"737","352","544","496","710","509","658","724","959","791","1070","942","495","1118"
"250","1407","1468","1325","284","1064",NA,"1444","890","381","1869","1983","149","343","1525","1176","639","1180","1141","1573"
"567","689","365","709","217","344","1474",NA,"795","491","1378","239","229","694","656","324","1017","210","1399","1295"
"305","167","609","168","630","618","620","575",NA,"532","1486","444","372","1248","594","756","649","641","420","891"
"639","552","724","810","568","494","337","410","575",NA,"364","428","588","1302","605","1176","591","720","469","364"
"1015","529","329","859","1038","744","1611","1037","1458","271",NA,"307","352","2245","1888","1428","376","828","541","342"
"391","458","1873","532","784","519","1887","221","334","463","205",NA,"274","0","433","1271","988","533","520","327"
"255","223","369","426","343","672","150","218","337","597","330","301",NA,"627","527","1066","61","434","625","319"
"1940","815","0","1050","1216","581","227","569","1172","1055","2157","0","610",NA,"1851","1906","0","1469","1813","1062"
"1312","548","419","874","672","854","1111","610","584","611","1814","443","615","1771",NA,"1214","658","1061","1052","1386"
"1386","559","218","890","800","765","602","364","734","1138","1398","1376","1099","1998","1198",NA,"685","1169","144","359"
"349","708","0","185","43","1122","605","793","589","498","311","1004","61","0","556","741",NA,"356","27","2184"
"1407","535","504","552","1364","1094","992","140","437","685","817","567","411","1274","1434","1484","427",NA,"473","286"
"560","455","1036","425","465","539","510","1689","404","450","496","542","683","1807","1111","167","29","397",NA,"0"
"770","508","0","232","340","1019","1500","1247","822","337","303","313","302","1067","1413","359","2626","213","28",NA
